population_size,population_final_mean,population_final_se,sex_ratio_final_mean,sex_ratio_final_se,avg_age_final_mean,avg_age_final_se,growth_rate_mean,growth_rate_se,males_final_mean,females_final_mean
200,1.1,0.020632566763371447,0.034,0.012649745620249763,44.3,0.573336602213526,-0.9945,0.00010316283381685727,0.036,1.064
400,1.124,0.025080112603271372,0.03,0.012040760759965078,44.268,0.5373898542228784,-0.9971900000000002,6.270028150817924e-5,0.036,1.088
600,1.088,0.018826623889276403,0.028,0.010454721651927283,44.732,0.5726994347563835,-0.9981866666666664,3.137770648212616e-5,0.028,1.06
800,1.096,0.022564855212543512,0.042,0.015936117449285747,44.976,0.5457959958412165,-0.9986299999999999,2.820606901567955e-5,0.044,1.052
1000,1.072,0.016381005750490122,0.016,0.007951661188874347,45.756,0.5780192740077946,-0.998928,1.638100575049013e-5,0.016,1.056
1200,1.116,0.023245157547274017,0.048,0.016730320213846215,45.56,0.5224840267730025,-0.9990700000000003,1.9370964622728438e-5,0.048,1.068
1400,1.112,0.02433501122013995,0.052,0.01893722455629606,45.768,0.5830062513872613,-0.9992057142857144,1.738215087152947e-5,0.052,1.06
1600,1.116,0.021070163910822236,0.048,0.014684910157892746,47.112,0.5464579482051903,-0.9993024999999999,1.3168852444263613e-5,0.048,1.068
1800,1.132,0.023590890625025743,0.04,0.014780862477620489,45.76,0.5652251923545951,-0.9993711111111109,1.310605034723638e-5,0.04,1.092
2000,1.124,0.025080112603271375,0.044,0.012997373846574956,46.18,0.5338486466312714,-0.9994380000000004,1.2540056301636481e-5,0.044,1.08
