male_population,population_final_mean,population_final_se,sex_ratio_final_mean,sex_ratio_final_se,avg_age_final_mean,avg_age_final_se,growth_rate_mean,growth_rate_se,males_final_mean,females_final_mean
200,1.116,0.02254348764812946,0.054,0.013896346056965473,43.524,0.6797395674212825,-0.9994420000000003,1.1271743824065547e-5,0.06,1.056
400,1.092,0.020781517893161103,0.056,0.017569597691814376,44.084,0.5819401975927572,-0.9994540000000001,1.0390758946581466e-5,0.056,1.036
600,1.084,0.02013448758626466,0.03,0.01204076075996508,44.808,0.5425328668814328,-0.9994580000000003,1.0067243793132948e-5,0.032,1.052
800,1.124,0.023764574897950978,0.044,0.014179571254585077,45.744,0.6023463626205847,-0.9994380000000004,1.1882287448976457e-5,0.044,1.08
1000,1.096,0.02394639260672685,0.018,0.009954918463072698,46.92,0.5127514565799883,-0.9994520000000002,1.1973196303363774e-5,0.02,1.076
1200,1.124,0.025712653737974933,0.042,0.013177198268860777,47.776,0.5377546058047826,-0.9994380000000003,1.2856326868988233e-5,0.048,1.076
1400,1.112,0.024335011220139948,0.028,0.013174150178729816,48.168,0.49587768928529513,-0.9994440000000002,1.2167505610070713e-5,0.028,1.084
1600,1.112,0.02153320029302281,0.008,0.0056454836766901655,49.58,0.457913900817882,-0.9994440000000002,1.07666001465123e-5,0.008,1.104
1800,1.164,0.025436273627720257,0.008,0.005645483676690164,49.812,0.4424133159938506,-0.9994180000000001,1.2718136813861166e-5,0.008,1.156
2000,1.124,0.022371812442622332,0.0,0.0,51.016,0.3458981905603609,-0.9994380000000003,1.118590622131212e-5,0.0,1.124
