male_population,population_final_mean,population_final_se,sex_ratio_final_mean,sex_ratio_final_se,avg_age_final_mean,avg_age_final_se,growth_rate_mean,growth_rate_se,males_final_mean,females_final_mean,males_final_se,females_final_se
0,2.16,0.07558075018942845,0.0,0.0,44.42,0.318855886420842,-0.99892,3.779037509471463e-5,0.0,2.16,0.0,0.07558075018942845
200,3.516,0.11081559631000579,0.7368000000000001,0.05899323371603626,40.56,0.5230064463961104,-0.998242,5.540779815500314e-5,1.516,2.0,0.07980256762283272,0.08835852486128688
400,5.34,0.14932781114287752,1.5723333333333334,0.0930125511531719,39.82,0.46629187474134615,-0.9973299999999999,7.466390557143892e-5,3.108,2.232,0.116307582793475,0.08858948236411686
600,6.52,0.17138228482022522,2.173466666666666,0.11378232943539501,39.988,0.4305402228992507,-0.99674,8.56911424101128e-5,4.316,2.204,0.1307400007310871,0.09455845390455195
800,6.86,0.15800462603161203,2.4128000000000007,0.13789924058284156,41.48,0.32245045695231234,-0.9965700000000002,7.900231301580596e-5,5.06,1.8,0.12876303692719762,0.08652134866667532
1000,7.664,0.17697938527197166,2.9851999999999994,0.1681643931237554,42.564,0.2714671132463326,-0.996168,8.848969263598596e-5,6.064,1.6,0.15976770285480732,0.07813077287908224
1200,8.108,0.1848948034786637,3.570733333333333,0.19900206313860813,43.088,0.20484351947249765,-0.9959459999999998,9.244740173933179e-5,6.776,1.332,0.1674498546289636,0.07185930027591819
1400,8.336,0.17797504450305232,3.6958,0.22990273173626005,43.844,0.19275704165719532,-0.9958319999999998,8.898752225152628e-5,7.372,0.964,0.16361400358366246,0.06269400412009463
1600,9.12,0.18903262505010435,3.329333333333333,0.26372359876617935,43.684,0.17202017253518884,-0.99544,9.451631252505209e-5,8.532,0.588,0.18740433704204573,0.04544540835510501
1800,9.564,0.19477001162837895,2.1833333333333336,0.2521752753104706,43.804,0.12909297418502585,-0.9952179999999998,9.738500581418966e-5,9.256,0.308,0.190101051124275,0.03523506832916097
2000,9.852,0.19169604454441913,0.0,0.0,44.332,0.134936784247187,-0.9950739999999999,9.584802227220956e-5,9.852,0.0,0.19169604454441913,0.0
