year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean
0,500.0,0.0,1.0,0.0,49.8,2.2226110770892866,250.0,250.0
1,334.2,9.183681179135085,1.0218191323236088,0.01722364374979203,39.8,1.0677078252031313,168.8,165.4
2,249.4,9.94786409235671,1.0230924053200419,0.04941756613646623,35.0,1.51657508881031,125.8,123.6
3,208.2,6.763135367564366,1.0542891415043625,0.07064635577809414,31.4,1.5362291495737215,106.6,101.6
4,180.2,5.544366510251645,1.0898235708071464,0.0676577605499548,28.0,0.9486832980505137,93.6,86.6
5,159.8,4.532107677449863,1.1754588695399413,0.05653875342580597,26.2,0.9695359714832658,86.0,73.8
6,134.6,6.667833231267861,1.1821696336450436,0.09130890092220037,24.2,0.6633249580710798,72.4,62.2
7,111.2,6.836665854054884,1.1688468720821663,0.08310804718360015,23.8,1.019803902718557,59.4,51.8
8,95.0,6.670832032063167,1.292278576385918,0.14907647354318476,22.2,0.7348469228349533,52.6,42.4
9,79.2,5.24785670536077,1.3753968253968254,0.225683782235503,22.8,0.8602325267042626,44.8,34.4
10,66.0,5.576737397439474,1.3277577957432767,0.2221987998012134,25.0,0.8944271909999159,36.6,29.4
