year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean,males_se,females_se
0,2000.0,0.0,1.666666666666666,2.982024500902759e-17,50.996,0.04976868336300826,1250.0,750.0,0.0,0.0
1,1331.264,0.9196565360440695,1.719976534396658,0.0024363296226344766,41.516,0.048581976254920584,841.616,489.648,0.6999921900509064,0.5756308659093734
2,972.642,1.0235913004224884,1.81754966150434,0.003913973708070791,37.288,0.04705891076262102,627.072,345.57,0.768913576532729,0.6344945758109102
3,770.368,1.0534042305524938,1.898350329883636,0.005303630127917075,34.5,0.04850469472970264,504.116,266.252,0.8283921505604821,0.6184415347174924
4,637.976,1.0389290616737894,1.9492584204532024,0.006454517987874684,32.54,0.05213670945644625,421.12,216.856,0.8088310177227755,0.607922418845258
5,537.55,0.9935337027181683,1.9990622932944808,0.0077499352248175815,31.272,0.04940560522506843,357.686,179.864,0.7752320798026293,0.5887071940452582
6,453.4,0.9721863466358548,2.057759346807382,0.008878968170547914,30.62,0.05363724366348098,304.486,148.914,0.7626315110479545,0.5430091397496947
7,383.32,0.9011166530726695,2.1245250626152066,0.010104248031738114,30.462,0.05221652162161437,259.994,123.326,0.7155220973132045,0.4933297035378931
8,324.326,0.8343186580956303,2.2078480152017965,0.011602851619370599,30.564,0.055875326434915926,222.556,101.77,0.6653202462424544,0.45380842231974566
9,274.594,0.7855319528178314,2.301808259057622,0.01355960867270989,30.868,0.05792981725722004,190.73,83.864,0.6243186265802023,0.41970861158341094
10,233.098,0.7089640696849231,2.4126914098076204,0.016543932898222775,31.308,0.060742499969998046,164.01,69.088,0.575299695357957,0.38933748773874494
11,197.672,0.664424376060215,2.5253871383963626,0.019124572686506813,31.87,0.06256219350464164,140.786,56.886,0.5333604360181011,0.36106334829634246
12,168.096,0.6289839502079831,2.6722774255487196,0.0227605317796613,32.424,0.0638168722703702,121.442,46.654,0.5046609131630357,0.33946286700632267
13,143.056,0.5647651257776007,2.8140116364427077,0.02626290934505176,33.064,0.06669861625867242,104.676,38.38,0.46389270406179434,0.29973802857085563
14,121.538,0.5226120537429603,2.9653911364256285,0.03128407315125853,33.704,0.07004699252876348,89.96,31.578,0.4295647235323297,0.27656610352542926
15,103.374,0.48287325579527035,3.161492160034984,0.0394151301314808,34.308,0.07545634048002377,77.514,25.86,0.390482472234343,0.25481495506081525
16,87.79,0.4397619596580913,3.3475689199119305,0.046291312911133795,34.964,0.07674103447794726,66.592,21.198,0.36565349301477734,0.22587525597666747
17,74.662,0.3896551993092064,3.578927881007314,0.05335816551479122,35.606,0.07890487918956497,57.38,17.282,0.32886395820462294,0.2014898218188531
18,63.34,0.3520122515630684,3.8493464578632155,0.06277764724129833,36.224,0.07960100904688686,49.308,14.032,0.30023750117903064,0.18066330690243065
19,53.876,0.33004713333165137,4.215258850076502,0.07899332572651489,36.888,0.08219747471607264,42.53,11.346,0.2821514111920678,0.164543968090203
20,45.758,0.30667731241142665,4.6040658771568985,0.10865444710982523,37.468,0.08723055852556123,36.512,9.246,0.26377047166702894,0.14815825909978478
21,38.69,0.2828211016722447,5.098268170554935,0.14599975820459943,38.096,0.08888965486198583,31.236,7.454,0.2518719654386885,0.12843971941360702
22,32.924,0.26214096163616835,5.560682517482517,0.18468816721138634,38.672,0.09270393756513343,26.838,6.086,0.23267958995830798,0.11418969556464495
