year,population,births,deaths,marriages,divorces,median_age,sex_ratio
0,1000,0,0,0,0,52.0,1.0161290322580645
1,646,0,354,226,0,43.0,1.0771704180064308
2,461,2,187,43,30,38.0,1.164319248826291
3,382,25,104,62,21,33.0,1.2080924855491328
4,338,55,99,28,21,28.0,1.2236842105263157
5,282,22,78,30,15,27.0,1.3114754098360655
6,243,23,62,27,18,26.0,1.5851063829787233
7,219,19,43,23,12,26.0,1.7375
8,184,13,48,16,12,26.0,1.7462686567164178
9,149,4,39,7,10,27.0,1.6607142857142858
10,120,2,31,12,6,29.0,1.9268292682926829
