year,age_range,males,females
0,0-4,10,31
0,5-9,11,44
0,10-14,16,47
0,15-19,9,32
0,20-24,14,26
0,25-29,10,42
0,30-34,16,37
0,35-39,16,37
0,40-44,9,44
0,45-49,13,31
0,50-54,14,33
0,55-59,11,49
0,60-64,5,30
0,65-69,15,39
0,70-74,10,31
0,75-79,15,35
0,80-84,13,34
0,85-89,10,35
0,90-99,27,73
0,100+,6,20
5,0-4,27,19
5,5-9,2,7
5,10-14,1,7
5,15-19,9,26
5,20-24,4,15
5,25-29,6,9
5,30-34,8,15
5,35-39,11,17
5,40-44,7,17
5,45-49,6,16
5,50-54,2,1
5,55-59,3,6
5,60-64,2,10
5,65-69,0,3
5,70-74,2,3
5,75-79,3,3
5,80-84,0,0
5,85-89,0,0
5,90-99,0,0
5,100+,0,0
10,0-4,7,5
10,5-9,7,9
10,10-14,1,1
10,15-19,0,4
10,20-24,4,9
10,25-29,3,5
10,30-34,3,7
10,35-39,6,6
10,40-44,6,9
10,45-49,2,8
10,50-54,2,2
10,55-59,1,0
10,60-64,1,1
10,65-69,0,0
10,70-74,0,0
10,75-79,0,0
10,80-84,0,0
10,85-89,0,0
10,90-99,0,0
10,100+,0,0
